table_name,column_name,foreign_table_name,foreign_column_name
application_settings,push_rule_id,push_rules,id
application_settings,usage_stats_set_by_user_id,users,id
application_settings,instance_administrators_group_id,namespaces,id
application_settings,file_template_project_id,projects,id
application_settings,instance_administration_project_id,projects,id
application_settings,custom_project_templates_group_id,namespaces,id
approvals,merge_request_id,merge_requests,id
approver_groups,group_id,namespaces,id
boards,group_id,namespaces,id
boards,project_id,projects,id
ci_builds,stage_id,ci_stages,id
ci_builds,resource_group_id,ci_resource_groups,id
ci_builds,upstream_pipeline_id,ci_pipelines,id
ci_builds,auto_canceled_by_id,ci_pipelines,id
ci_builds,project_id,projects,id
ci_builds,commit_id,ci_pipelines,id
ci_pipelines,external_pull_request_id,external_pull_requests,id
ci_pipelines,auto_canceled_by_id,ci_pipelines,id
ci_pipelines,pipeline_schedule_id,ci_pipeline_schedules,id
ci_pipelines,project_id,projects,id
ci_pipelines,merge_request_id,merge_requests,id
ci_pipelines,ci_ref_id,ci_refs,id
ci_runner_projects,project_id,projects,id
ci_trigger_requests,trigger_id,ci_triggers,id
ci_triggers,project_id,projects,id
ci_triggers,owner_id,users,id
ci_variables,project_id,projects,id
deploy_keys_projects,project_id,projects,id
deployments,cluster_id,clusters,id
deployments,project_id,projects,id
emails,user_id,users,id
environments,project_id,projects,id
identities,saml_provider_id,saml_providers,id
index_statuses,project_id,projects,id
issue_metrics,issue_id,issues,id
issues,author_id,users,id
issues,sprint_id,sprints,id
issues,project_id,projects,id
issues,milestone_id,milestones,id
issues,duplicated_to_id,issues,id
issues,moved_to_id,issues,id
issues,closed_by_id,users,id
issues,promoted_to_epic_id,epics,id
issues,updated_by_id,users,id
label_links,label_id,labels,id
label_priorities,label_id,labels,id
label_priorities,project_id,projects,id
backup_labels,project_id,projects,id
backup_labels,project_id,projects,id
labels,project_id,projects,id
labels,project_id,projects,id
backup_labels,group_id,namespaces,id
backup_labels,group_id,namespaces,id
labels,group_id,namespaces,id
labels,group_id,namespaces,id
lists,board_id,boards,id
lists,iteration_id,sprints,id
lists,label_id,labels,id
lists,user_id,users,id
lists,milestone_id,milestones,id
members,user_id,users,id
merge_request_diffs,merge_request_id,merge_requests,id
merge_request_metrics,target_project_id,projects,id
merge_request_metrics,merged_by_id,users,id
merge_request_metrics,latest_closed_by_id,users,id
merge_request_metrics,pipeline_id,ci_pipelines,id
merge_request_metrics,merge_request_id,merge_requests,id
merge_requests,latest_merge_request_diff_id,merge_request_diffs,id
merge_requests,source_project_id,projects,id
merge_requests,assignee_id,users,id
merge_requests,updated_by_id,users,id
merge_requests,milestone_id,milestones,id
merge_requests,sprint_id,sprints,id
merge_requests,target_project_id,projects,id
merge_requests,merge_user_id,users,id
merge_requests,author_id,users,id
merge_requests,head_pipeline_id,ci_pipelines,id
merge_requests_closing_issues,merge_request_id,merge_requests,id
merge_requests_closing_issues,issue_id,issues,id
milestones,group_id,namespaces,id
milestones,project_id,projects,id
namespaces,file_template_project_id,projects,id
namespaces,push_rule_id,push_rules,id
namespaces,custom_project_templates_group_id,namespaces,id
notes,review_id,reviews,id
notes,project_id,projects,id
notification_settings,user_id,users,id
pages_domains,project_id,projects,id
path_locks,project_id,projects,id
path_locks,user_id,users,id
personal_access_tokens,user_id,users,id
project_features,project_id,projects,id
project_group_links,project_id,projects,id
project_import_data,project_id,projects,id
projects,marked_for_deletion_by_user_id,users,id
projects,pool_repository_id,pool_repositories,id
projects,namespace_id,namespaces,id
protected_branch_merge_access_levels,protected_branch_id,protected_branches,id
protected_branch_merge_access_levels,group_id,namespaces,id
protected_branch_merge_access_levels,user_id,users,id
protected_branch_push_access_levels,deploy_key_id,keys,id
protected_branch_push_access_levels,group_id,namespaces,id
protected_branch_push_access_levels,protected_branch_id,protected_branches,id
protected_branch_push_access_levels,user_id,users,id
protected_branches,project_id,projects,id
push_rules,project_id,projects,id
releases,project_id,projects,id
releases,author_id,users,id
remote_mirrors,project_id,projects,id
services,project_id,projects,id
services,group_id,namespaces,id
services,inherit_from_id,services,id
snippets,project_id,projects,id
subscriptions,project_id,projects,id
todos,project_id,projects,id
todos,note_id,notes,id
todos,group_id,namespaces,id
todos,author_id,users,id
todos,user_id,users,id
trending_projects,project_id,projects,id
u2f_registrations,user_id,users,id
users,accepted_term_id,application_setting_terms,id
users,managing_group_id,namespaces,id
users_star_projects,project_id,projects,id
web_hooks,project_id,projects,id
web_hooks,service_id,services,id
project_authorizations,project_id,projects,id
project_authorizations,user_id,users,id
timelogs,note_id,notes,id
timelogs,issue_id,issues,id
timelogs,merge_request_id,merge_requests,id
chat_names,service_id,services,id
project_statistics,project_id,projects,id
namespace_statistics,namespace_id,namespaces,id
oauth_openid_requests,access_grant_id,oauth_access_grants,id
chat_teams,namespace_id,namespaces,id
protected_tags,project_id,projects,id
protected_tag_create_access_levels,group_id,namespaces,id
protected_tag_create_access_levels,protected_tag_id,protected_tags,id
protected_tag_create_access_levels,user_id,users,id
system_note_metadata,note_id,notes,id
system_note_metadata,description_version_id,description_versions,id
container_repositories,project_id,projects,id
ci_pipeline_schedules,project_id,projects,id
ci_pipeline_schedules,owner_id,users,id
issue_assignees,user_id,users,id
issue_assignees,issue_id,issues,id
web_hook_logs,web_hook_id,web_hooks,id
project_mirror_data,project_id,projects,id
geo_repository_updated_events,project_id,projects,id
geo_event_log,job_artifact_deleted_event_id,geo_job_artifact_deleted_events,id
geo_event_log,hashed_storage_migrated_event_id,geo_hashed_storage_migrated_events,id
geo_event_log,hashed_storage_attachments_event_id,geo_hashed_storage_attachments_events,id
geo_event_log,cache_invalidation_event_id,geo_cache_invalidation_events,id
geo_event_log,repositories_changed_event_id,geo_repositories_changed_events,id
geo_event_log,container_repository_updated_event_id,geo_container_repository_updated_events,id
geo_event_log,repository_renamed_event_id,geo_repository_renamed_events,id
geo_event_log,repository_created_event_id,geo_repository_created_events,id
geo_event_log,upload_deleted_event_id,geo_upload_deleted_events,id
geo_event_log,repository_deleted_event_id,geo_repository_deleted_events,id
geo_event_log,reset_checksum_event_id,geo_reset_checksum_events,id
geo_event_log,lfs_object_deleted_event_id,geo_lfs_object_deleted_events,id
geo_event_log,geo_event_id,geo_events,id
geo_event_log,repository_updated_event_id,geo_repository_updated_events,id
ci_stages,project_id,projects,id
ci_stages,pipeline_id,ci_pipelines,id
ci_sources_pipelines,project_id,projects,id
ci_sources_pipelines,source_project_id,projects,id
ci_sources_pipelines,source_job_id,ci_builds,id
ci_sources_pipelines,source_pipeline_id,ci_pipelines,id
ci_sources_pipelines,pipeline_id,ci_pipelines,id
issue_links,source_id,issues,id
issue_links,target_id,issues,id
ci_group_variables,group_id,namespaces,id
merge_request_diff_files,merge_request_diff_id,merge_request_diffs,id
merge_request_diff_commits,merge_request_diff_id,merge_request_diffs,id
ci_pipeline_schedule_variables,pipeline_schedule_id,ci_pipeline_schedules,id
slack_integrations,service_id,services,id
geo_repository_renamed_events,project_id,projects,id
gpg_keys,user_id,users,id
gpg_signatures,project_id,projects,id
gpg_signatures,gpg_key_subkey_id,gpg_key_subkeys,id
gpg_signatures,gpg_key_id,gpg_keys,id
geo_node_namespace_links,namespace_id,namespaces,id
geo_node_namespace_links,geo_node_id,geo_nodes,id
ci_pipeline_variables,pipeline_id,ci_pipelines,id
geo_repositories_changed_events,geo_node_id,geo_nodes,id
events,group_id,namespaces,id
events,author_id,users,id
events,project_id,projects,id
push_event_payloads,event_id,events,id
user_synced_attributes_metadata,user_id,users,id
project_auto_devops,project_id,projects,id
geo_repository_created_events,project_id,projects,id
user_custom_attributes,user_id,users,id
gpg_key_subkeys,gpg_key_id,gpg_keys,id
fork_networks,root_project_id,projects,id
fork_network_members,forked_from_project_id,projects,id
fork_network_members,fork_network_id,fork_networks,id
fork_network_members,project_id,projects,id
ci_build_trace_sections,section_name_id,ci_build_trace_section_names,id
ci_build_trace_sections,build_id,ci_builds,id
ci_build_trace_sections,project_id,projects,id
ci_build_trace_section_names,project_id,projects,id
