event_name,events_to_include,stage_name,smau,group_name,gmau,section_name
action_monthly_active_users_project_repo,action_monthly_active_users_project_repo,create,TRUE,source_code,TRUE,dev
epic_interaction,epics,plan,FALSE,portfolio_management,TRUE,dev
issue_interaction,issues,plan,TRUE,project_management,TRUE,dev
merge_request_interaction,merge_requests,create,FALSE,source_code,FALSE,dev
requirements,requirements,plan,FALSE,certify,TRUE,dev
snippets,snippets,create,FALSE,editor,FALSE,dev
epic_interaction,epic_notes,plan,FALSE,portfolio_management,TRUE,dev
issue_interaction,issue_notes,plan,TRUE,project_management,TRUE,dev
merge_request_interaction,merge_request_notes,create,FALSE,source_code,FALSE,dev
ci_pipelines,ci_pipelines,verify,TRUE,continuous_integration,TRUE,ops
releases,releases,release,FALSE,release_management,TRUE,ops
deployments,deployments,release,TRUE,,FALSE,ops
secure_stage_ci_jobs,secure_stage_ci_jobs,secure,TRUE,,FALSE,secure_protect
dast_jobs,dast,secure,FALSE,dynamic_analysis,TRUE,secure_protect
sast_jobs,sast,secure,FALSE,static_analysis,TRUE,secure_protect
dependency_scanning_jobs,composition_analysis_jobs,secure,FALSE,composition_analysis,TRUE,secure_protect
license_scanning_jobs,composition_analysis_jobs,secure,FALSE,composition_analysis,TRUE,secure_protect
container_scanning_jobs,composition_analysis_jobs,secure,FALSE,composition_analysis,TRUE,secure_protect
packages,packages,package,TRUE,package,TRUE,secure_protect
