project_path,project_id
gitlab-com/gl-infra/deployer,151
gitlab-com/gitlab-com-infrastructure,138
gitlab-com/engineering/patcher,368
gitlab-com/gl-infra/db-ops,363
gitlab-com/gl-infra/terraform-modules/google/generic-sv-with-group,187
gitlab-com/gl-infra/terraform-modules/dns-record,319
gitlab-com/gl-infra/terraform-modules/google/tcp-lb,179
gitlab-com/services-base,220
gitlab-com/gl-infra/terraform-modules/google/project,236
gitlab-com/gl-infra/terraform-modules/google/monitoring-with-count,184
gitlab-com/gl-infra/terraform-modules/static-objects-cache,241
gitlab-com/gl-infra/terraform-modules/google/database-backup-bucket,195
gitlab-com/gl-infra/terraform-modules/google/gke,186
gitlab-com/gl-infra/deploy-tooling,157
gitlab-com/gl-infra/terraform-modules/google/storage-buckets,180
gitlab-com/gl-infra/terraform-modules/google/cloud-sql,251
gitlab-cookbooks/chef-repo,139
gitlab-cookbooks/gitlab-walg,155
